title,category,period,outcome,image_url
"지역사회 에너지 혁신 프로젝트 경진대회","social,event","2024년 11월 ~ 2025년 1월 (총 8주간)","[오프라인 숙박형 캠프 및 행사 운영] 총 4개 지역혁신플랫폼의 7개 대학의 친환경에너지 전공자 참여 | 현직자 특강, 팀 프로젝트 멘토링, 에너지마을 발밤 및 팀 별 최종 결과 발표 | 경진대회 진행 및 시상 진행",
"2024학년도 반도체 글로벌 연수 프로그램 in 대만","global,competency","2025년 1월 (4박 5일, 총 60시간)","[해외 박람회 관람 및 기업 탐방] 대만 진출 국내기업 및 현지 반도체 설계/장비 전문 기업 탐방 등의 산학연계형 교육 수행 | 기업에 대한 이해, 분석 팀프로젝트를 통해 실무역량 강화",
"PNU SEMICON KOREA 2025 동계 반도체 취업지원 교육캠프","competency,career","2025년 2월 19일 ~ 21일 (2박 3일, 총 28시간)","[오프라인 숙박형 캠프] SEMOCON KOREA 2025 탐방 관람 | 취업희망 기업 부스 방문, 기업 분석, 팀프로젝트 수행 및 결과 발표 | 공정별 기술 트렌드 튜토리얼 및 취업 멘토링 참여",
"SEMICON KOREA 2025 반도체산업 취업역량강화 캠프","competency,career","2025년 2월 19일 ~ 21일 (2박 3일, 총 28시간)","[오프라인 숙박형 캠프] SEMOCON KOREA 2025 탐방 관람 | 취업희망 기업 부스 방문, 기업 분석, 팀프로젝트 수행 및 결과 발표 | 공정별 기술 트렌드 튜토리얼 및 취업 멘토링 참여",
"반도체 클린룸 위탁운영 방안 및 사업추진 전략 수립","consulting","2025년 2월 ~ 3월 (총 6주간)","[사업 컨설팅] 대만 내 클린룸 시설 시장 및 반도체 창정 장비 등을 운영하기 위한 전략 수립 | 수익창출 및 지역사회 공헌방안 마련",
"글로벌대학 연계 스마트시티 리빙랩 캠퍼스 네트워킹 프로그램","global","2025년 2월 ~ 3월 (총 6주간)","[1일 네트워킹 행사 운영] 미국의 2개 대학과 함께 각 도시의 스마트시티 구축현황을 공유하고, 관련 지역사회 문제를 도출하고 이를 해결할 수 있는 방안을 논의하는 행사 진행",
"2025학년도 '말바트로스 세미나' 교과목 운영","competency","2025년 1학기 (매주 2시간, 총 32시간)","[교과목 강의 및 운영] 6주간의 반도체 산업 현직자의 특강 | 8주간의 리더로서 성장하기 위한 필수 역량 중 하나인 문제해결 역량강화를 위해 Design Thinking을 활용한 창의적 문제해결 과정",
"2025학년도 '반도체 리더십과 사회적 역할(3기)' 교과목 운영","competency","2025년 1학기 (매주 2시간, 총 32시간)","[교과목 강의 및 운영] 4주간의 반도체 산업 현직자의 특강 | 리더로서 성장하기 위한 필수 역량 중 하나인 문제해결 역량강화를 위해 Design Thinking을 활용한 창의적 문제해결 과정",
"2025 Fab to Future : 국내 반도체 기업 인사이트 탐방 - 1기","competency","2025년 6월 (1박 2일, 총 24시간)","[오프라인 숙박형 캠프] 반도체 기업 탐방 : 제조/연구 현장 견학 및 인사팀 특강 | 반도체 현직자 특강 : 국내 대표 반도체 기업 현직자 특강 | 탐방 Insight 도출 및 현직자 직무 분석 팀프로젝트 진행",
"2025 제1회 원주시 공공데이터 활용 아이디어 공모전 운영","social,event","2025년 6월 ~ 8월 (총 2개월간)","[공모전 운영] 전국민을 대상으로 공공데이터 분석을 통해 원주시의 지역 현안을 도출하고, 이를 창의적으로 해결할 수 있는 아이디어 발굴이 가능한 공모전 운영",
